topic_id,label,count,top_terms
0,0_models_al_et al_et,10,models(0.020); al(0.020); et al(0.020); et(0.020); network(0.016); data(0.016); llms(0.016); based(0.015); model(0.015); bubble(0.013)
1,1_ethical_ethics_access_information,6,ethical(0.024); ethics(0.023); access(0.021); information(0.019); code(0.018); human(0.017); rights(0.016); data(0.015); project(0.015); algorithms(0.015)
2,2_ai_systems_work_fairness,6,ai(0.080); systems(0.024); work(0.020); fairness(0.019); world(0.019); data(0.017); human(0.017); scientists(0.016); design(0.014); data scientists(0.014)
3,3_2024_arxiv_ai_2023,5,2024(0.040); arxiv(0.040); ai(0.029); 2023(0.026); ethics(0.023); keywords(0.023); accessed(0.016); ai ethics(0.016); language(0.015); stanford(0.015)
4,4_ai_systems_ai systems_inference,5,ai(0.038); systems(0.030); ai systems(0.026); inference(0.023); active(0.022); active inference(0.022); doi(0.020); model(0.020); 10(0.018); org(0.018)
5,5_normative_agent_given_norms,4,normative(0.035); agent(0.035); given(0.025); norms(0.023); ngrl(0.022); decision(0.021); values(0.020); agents(0.020); value(0.019); behavior(0.018)
6,6_2018_acm_2017_conference,4,2018(0.033); acm(0.030); 2017(0.029); conference(0.026); proceedings(0.023); fairness(0.022); et(0.022); et al(0.022); al(0.022); 2016(0.018)
7,7_learning_environment_agent_user,4,learning(0.048); environment(0.030); agent(0.030); user(0.025); reward(0.020); continual(0.019); negative(0.019); al(0.018); different(0.017); data(0.017)
